english_caption,bengali_caption
young girl with pigtails painting outside in the grass .,চুলে বেনী করা অল্প বয়সী মেয়েটি বাইরে ঘাসের উপর বসে রং করছে।
a man lays on a bench while his dog sits by him .,একজন পুরুষ টেবিলের উপর শুয়ে আছে যখন তার কুকুর তার পাশে বসে আছে ।
a man lays on the bench to which a white dog is also tied .,একজন মানুষ একটি বেঞ্চিতে শুয়ে আছে যার সাথে একটি সাদা কুকুরও বাধা আছে
a man sleeping on a bench outside with a white and black dog sitting next to him .,একজন ব্যক্তি বাইরে বেঞ্চে ঘুমাচ্ছে এবং একটি সাদা কালো কুকুর তার পাশে বসে আছে।
a shirtless man lies on a park bench with his dog .,একজন নগ্নদেহী লোক তার পোষা কুকুরকে সাথে নিয়ে বাগানে একটি লম্বা আসনে শুয়ে আছে।
man laying on bench holding leash of dog sitting on ground,মাটিতে বসে থাকা কুকুরটির শিকল ধরে বেঞ্চে শুয়ে আছে লোকটি
a man in an orange hat starring at something .,কমলা টুপি পরিহিত একজন পুরুষ কোনোকিছুর দিকে তাকিয়ে আছে ।
a man wears an orange hat and glasses .,একজন মানুষ কমলা রঙের টুপি পরেছ এবং চশমাও পরেছে
a man with gauges and glasses is wearing a blitz hat .,চশমাযুক্ত একজন ব্যক্তি একটি ব্লিটজ টুপি পরেছেন।
a man with glasses is wearing a beer can crocheted hat .,চশমা পরিহিত একজন ব্যক্তি বিয়ারের কৌটা দিয়ে বানানো টুপি পরে আছে।
the man with pierced ears is wearing glasses and an orange hat .,কান ফোঁড়ানো ব্যক্তিটি চশমা এবং কমলা টুপি পরেছে।
a child playing on a rope net .,একটি শিশু দড়ি নির্মিত জালের উপর খেলছে ।
a little girl climbing on red roping .,একটি ছোট মেয়ে লাল রঙের দড়ি বেয়ে উঠছে
a little girl in pink climbs a rope bridge at the park .,গোলাপি জামা পরা ছোট মেয়েটি বাগানে দড়ির সেতু আরোহণ করছে।
a small child grips onto the red ropes at the playground .,একটি ছোট শিশু খেলার মাঠে লাল রশি আঁকড়ে ধরে আছে।
the small child climbs on a red ropes on a playground .,ছোট বাচ্চাটি মাঠে লাল রঙের দড়িতে চড়ে খেলছে
a black and white dog is running in a grassy garden surrounded by a white fence .,সাদা বেড়ি যুক্ত ঘাসে আবৃত একটি বাগানে একটি সাদা-কালো কুকুর দৌড়াচ্ছে।
a black and white dog is running through the grass .,একটি সাদাকালো রঙের কুকুর ঘাসের উপর দৌড়াচ্ছে
a boston terrier is running in the grass .,ঘাসের উপর একটি বোস্টন টেরিয়ার কুকুর দৌড়াচ্ছে।
a boston terrier is running on lush green grass in front of a white fence .,একটি বোস্টন টেরিয়ার জাতের কুকুর সাদা বেড়ার সামনে দিয়ে ঘন সবুজ ঘাসের মধ্যে দৌড়ে যাচ্ছে।
a dog runs on the green grass near a wooden fence .,কাঠের বেড়ার পাশে কুকুরটি সবুজ ঘাসের উপর দৌড়াচ্ছে
"a dog shakes its head near the shore , a red ball next to it .","তীরের কাছে একটি কুকুর মাথা ঝাকাচ্ছে,কুকুরটির পাশে একটি লাল রং এর বল ।"
a white dog shakes on the edge of a beach with an orange ball .,একটি সাদা কুকুর একটি কমলা বল নিয়ে সমুদ্রের পাড়ে মাথা ঝাকাচ্ছে
"dog with orange ball at feet , stands on shore shaking off water",তীরে দাঁড়িয়ে শরীর থেকে জল ঝেড়ে ফেলছে একটি কুকুর।
white dog playing with a red ball on the shore near the water .,জলের ধারে লাল বল নিয়ে খেলায় রত একটি সাদা কুকুর।
white dog with brown ears standing near water with head turned to one side .,বাদামি কানওয়ালা সাদা কুকুরটি মাথা একদিকে বাঁকিয়ে পানির কাছে দাড়িয়ে আছে
a boy smiles in front of a stony wall in a city .,একটি শহরের একটি পাথর নির্মিত দেয়ালের সামনে একটি বালক হাসছে ।
a little boy is standing on the street while a man in overalls is working on a stone wall .,একটি ছোট ছেলে রাস্তায় দাড়িয়ে আছে অ্যদিকে একজন লোক সবর্পরি কাজ করছে পাথরের দেওয়ালের উপর
a young boy runs aross the street .,একটি ছোট ছেলে রাস্তা দিয়ে দৌড়াচ্ছে।
a young child is walking on a stone paved street with a metal pole and a man behind him .,একটি ছোট শিশু পাথুরে রাস্তা ধরে হেঁটে যাচ্ছে এবং তার পেছনে একটি ধাতব খাম্বা এবং একজন ব্যক্তি রয়েছ।
smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,সাদা শার্ট আর নীল জিন্স পড়া হাস্যোজ্জ্বল ছেলেটি সম্পূর্ণ উল্টোদিকে মুখ করে থাকা লোকটির সাথে পাথুরে প্রাচীরের সামনে দাঁড়িয়ে আছে
a black dog leaps over a log .,একটি কালো কুকুর একটি গাছের গুঁড়ির উপর দিয়ে লাফ দিচ্ছে ।
a grey dog is leaping over a fallen tree .,একটি ধূসর কুকুর ভেঙে পরা গাছের উপর দিয়ে লাফ দিয়ে যাচ্ছ
a large black dog leaps a fallen log .,"একটি বড় কালো কুকুর, একটি পতিত গাছের উপর দিয়ে লাফিয়ে যাচ্ছে।"
a mottled black and grey dog in a blue collar jumping over a fallen tree .,নীল গলাবন্ধ পরিহিত কালো এবং ধূসর ছোপযুক্ত একটি কুকুর পড়ে থাকা একটি গাছের উপর দিয়ে লাফিয়ে যাচ্ছ।
the black dog jumped the tree stump .,কালো কুকুরটি লাফিয়ে গাছের কুঁদা পার করছে
a brown and white dog is running through the snow .,একটি সাদা-বাদামি ছোপযুক্ত কুকুর বরফের মাঝ দিয়ে দৌড়াচ্ছে ।
a dog is running in the snow,একটি সাদা কুকুর বরফের উপরে দৌড়াচ্ছে
a dog running through snow .,একটি কুকুর বরফের মাঝে দৌড়াচ্ছে।
a white and brown dog is running through a snow covered field .,একটি সাদা এবং বাদামী রঙের কুকুর বরফে ঢাকা মাঠের মধ্যে দিয়ে দৌড়াচ্ছে।
the white and brown dog is running over the surface of the snow .,শ্বেত-বাদামি কুকুরটি বরফের পৃষ্ঠদেশে দৌড়ে বেড়াচ্ছে
a man in a hat is displaying pictures next to a skier in a blue hat .,একজন টুপি পরিহিত লোক আরেকজন নীল টুপি পরিহিত স্কিচালক কে কিছু ছবি দেখাচ্ছেন ।
a man skis past another man displaying paintings in the snow .,একজন লোক স্কি করে যাচ্ছে আর অন্যজন চিত্র প্রদর্শন করছে বরফের উপর
a person wearing skis looking at framed pictures set up in the snow .,স্কি পরিহিত একজন ব্যক্তি তুষারে রাখা ফ্রেমবন্দি ছবিগুলো দেখছে।
a skier looks at framed pictures in the snow next to trees .,একজন  স্কিচালক গাছের পাশের বরফে ফ্রেমযুক্ত ছবি দেখছে।
man on skis looking at artwork for sale in the snow,স্কি করতে থাকা লোকটি বরফে পড়ে থাকা বিক্রয়যোগ্য চিত্রকর্মগুলোর দিকে তাকিয়ে আছে
a collage of one person climbing a cliff .,একজন ব্যক্তির একটি কোলাজ খাড়া পাহাড় আরোহন করছে ।
a group of people are rock climbing on a rock climbing wall .,একদল লোক পাথুর বেয়ে উঠার দেওয়ালে পাথর বেয়ে উঠছে
a group of people climbing a rock while one man belays,একদল লোক শিলায় চড়ছে এবং একজন লোক শিলায় চড়ার প্রস্তুতি নিচ্ছে।
seven climbers are ascending a rock face whilst another man stands holding the rope .,সাত পর্বতারোহী একটি শিলামুখ বেয়ে উঠছে আর আরেক ব্যক্তি দড়ি ধরে দাঁড়িয়ে আছে
several climbers in a row are climbing the rock while the man in red watches and holds the line .,কয়েকজন আরোহী একসাথে শিলায় আরোহণ করছেন যখন লাল পোশাক পরিহিত লোকটি নজর রেখেছে এবং রশিটি ধরে রেখেছে।
a brown dog chases the water from a sprinkler on a lawn .,ঘাসযুক্ত জায়গার উপর পানি ছিটানো যন্ত্র থেকে ছিটকে পড়া পানি একটি বাদামি কুকুর ধরতে চেষ্টা করছে ।
a brown dog plays with the hose .,একটি বদামী কুকুর জলসেচনের পাইপের সাথে খেলছে
a brown dog running on a lawn near a garden hose,"লনে, বাগানে পানি দেওয়ার নলের পাশে একটি বাদামী কুকুর দৌড়াচ্ছে।"
a dog is playing with a hose .,একটি কুকুর হৌজ পাইপের সাথে খেলছে
large brown dog running away from the sprinkler in the grass .,বড় বাদামী কুকুর ঘাসের  উপর থাকা স্প্রিংকলার থেকে পালাচ্ছে.
a dog prepares to catch a thrown object in a field with nearby cars .,"কাছাকাছি গাড়ি আছে এমন একটি মাঠে,একটি কুকুর তার দিকে ছুঁড়ে দেয়া বস্তুটি ধরার প্রস্তুতি নিচ্ছে ।"
a white dog is about to catch a yellow ball in its mouth .,একটি সাদা কুকুর একটি হলুদ বল তার মুখ দিয়ে ধরার চেষ্টা করছে
a white dog is about to catch a yellow dog toy .,একটি সাদা কুকুর একটি হলুদ রঙের খেলনা ধরতে চলেছে।
a white dog is ready to catch a yellow ball flying through the air .,একটি সাদা কুকুর উড়তে থাকা একটি হলুদ বল ধরার জন্য প্রস্তুত
a white dog running after a yellow ball,একটি সাদা কুকুর হলুদ বলের পিছনে দৌড়াচ্ছে ।
a black and white dog jumping in the air to get a toy .,একটি কালো বাদামি ছোপযুক্ত কুকুর একটি খেলনা ধরার জন্য শূণ্যে লাফাচ্ছে ।
a black and white dog jumps up towards a yellow toy .,একটি সাদাকালো রঙের কুকুর একটি হলুদ খেলনার দিকে লাফ দিলো
a dog leaps to catch a ball in a field .,বল ধরার জন্য একটি কুকুর মাঠে লাফালাফি করছে।
a white dog is trying to catch a ball in midair over a grassy field .,ঘাসের মাঠের উপর একটি সাদা কুকুর শুন্যে থাকা একটি বল ধরার চেষ্টা করছে
the white dog is playing in a green field with a yellow toy .,সাদা কুকুরটি হলুদ খেলনা নিয়ে সবুজ মাঠে খেলছে।
a child and a woman are at waters edge in a big city .,"একটি বড় শহরে,একজন মহিলা এবং একটি শিশু পানির কিনারায় দাঁড়িয়ে আছে ।"
a large lake with a lone duck swimming in it with several people around the edge of it .,একটি বড় হ্রদের কিনারায় কিছু মানুষ বসে আছে আর একটি একা হাঁস হ্রদে সাঁতার কাটছে
a little boy at a lake watching a duck .,একটি ছোট ছেলে দীঘির তীরে দাঁড়িয়ে হাঁস দেখছে।
a young boy waves his hand at the duck in the water surrounded by a green park .,সবুজ উদ্যান ঘেরা পানিতে থাকা হাঁসের দিকে একটি তরুণ হাত নাড়াচ্ছে
"two people are at the edge of a lake , facing the water and the city skyline .","দুইজন লোক একটি হ্রদের কিনারায়, জল এবং শহরের আকাশরেখার মুখোমুখি হয়ে আছে।"
"a couple and an infant , being held by the male , sitting next to a pond with a near by stroller .","পুকুরের পাশে একটি বাচ্চা ঘোরানোর গাড়ি নিয়ে,এক দম্পতি এবং একটি শিশু বসে আছে,বাচ্চাটিক্ ধরে রেখেছে পুরুষ লোকটি ।"
a couple sit on the grass with a baby and stroller .,এক দম্পতি ঘসের বসে আছে তাদের বাচ্চার সাথে এবং পাশে আছে বাচ্চা বহনকরার গাড়ী
a couple with their newborn baby sitting under a tree facing a lake .,একটি দম্পতি তাদের নবজাতক শিশুকে নিয়ে একটি দীঘির পাশে গাছের নিচে বসে আছে।
a man and woman care for an infant along the side of a body of water .,পানির ধারে একজন পুরুষ এবং মহিলা একটি শিশুকে আদর করছে
couple with a baby sit outdoors next to their stroller .,একটি শিশুর সাথে দম্পতি বাইরে তাদের স্ট্রোলারের পাশে বসে আছে।
a black dog running in the surf .,একটি কালো কুকুর পানির কিনারায় দৌড়াচ্ছে ।
a black lab with tags frolicks in the water .,একটি কালো কুকুর তার গলার বাধাবুলি নিয়ে সাগরের পানিতে খেলা করছে
a dog splashes in the water,কুকুরটি পানি ছিটাচ্ছে
the black dog runs through the water .,কালো কুকুর টি পানির মধ্য দিয়ে দৌড়াচ্ছে।
this is a black dog splashing in the water .,এটি একটি কালো কুকুর যা জল ছিটাচ্ছে ।
a man drilling a hole in the ice .,একজন মানুষ বরফে গর্ত খুঁড়ছে ।
a man is drilling through the frozen ice of a pond .,একজন লোক জমে যাওয়া বরফের পুকুরে ছিদ্র করছে
a person in the snow drilling a hole in the ice .,তুষারে একটি লোক বরফে গর্ত খুঁড়ছে
a person standing on a frozen lake .,জমাট বাঁধা দীঘির উপর একজন ব্যক্তি দাঁড়িয়ে আছেন।
two men are ice fishing .,দুই জন লোক বরফে মাছ ধরছে।
two different breeds of brown and white dogs play on the beach .,দুটি ভিন্ন জাতের সাদা-বাদামি ছোপযুক্ত কুকুর সমুদ্রতীরে খেলা করছে ।
two dogs are making a turn on a soft sand beach .,দুটি কুকুর নরম বালির সমুদ্র সৈকতে ঘুরছে
two dogs playing in the sand at the beach .,দুইটি কুকুর সমুদ্র সৈকতের বালুতে খেলছে
two dogs playing together on a beach .,সৈকতে দুটি কুকুর একসাথে খেলছে।
two large tan dogs play along a sandy beach .,বালুকাময় সৈকতে তাম্রবর্ণের দুটি কুকুর খেলছে ।
a man uses ice picks and crampons to scale ice .,একজল লোক বরফ বেয়ে উঠতে আইস পিকস যন্ত্র এবং ক্র্যাম্পন জুতো ব্যবহার করছে ।
an ice climber in a blue jacket and black pants is scaling a frozen ice wall .,একজন নীল জামা পরিহিত পর্বতারোহী একটি বরফে একটি পাহাড় বেয়ে উঠার চেষ্টা করছে
an ice climber scaling a frozen waterfall .,একজন বরফারোহী একটি জমাট বাঁধা ঝর্না বেয়ে উঠছে
a person in blue and red ice climbing with two picks .,গাঁইতি দিয়ে বরফ আরোহণ করছেন একজন ব্যক্তি।
climber climbing an ice wall,একটি বরফের দেয়ালে আরোহী আরোহণ করছে ।
a black dog carries a green toy in his mouth as he walks through the grass .,একটি কালো কুকুর সবুজ একটি খেলনা মুখে নিয়ে ঘাসের মধ্য দিয়ে হেঁটে যাচ্ছে ।
a black dog carrying something through the grass .,একটি কালো কুকুর মুখে কিছু একটি জিনিস নিয়ে ঘাসের উপর হেঁটে যাচ্ছে
a black dog has a blue toy in its mouth .,একটি কালো কুকুরের মুখে একটি নীল খেলনা রয়েছে
a dog in grass with a blue item in his mouth .,একটি নীল বস্তু মুখে নিয়ে একটি কুকুর ঘাসের মধ্যে দাঁড়িয়ে আছে।
a wet black dog is carrying a green toy through the grass .,একটি ভেজা কালো কুকুর ঘাসের মধ্য দিয়ে মুখে করে একটি সবুজ খেলনা বহন করছে।
a man and a baby are in a yellow kayak on water .,একজন লোক ও একটি শিশু ক্যানভাসে মোড়ানো ছইওয়ালা ছোট সরু নৌকায় করে পানির উপর ভেসে বেড়াচ্ছে ।
a man and a little boy in blue life jackets are rowing a yellow canoe .,একজন লোক এবং ছোট ছেলে নীল রঙের বহিরাবরণ পরে একটি হ্রদে ডোঙ্গা বেয়ে যাচ্ছে
a man and child kayak through gentle waters .,একজন পুরুষ এবং শিশু শান্ত পানিতে কায়াকিং করছে
a man and young boy ride in a yellow kayak .,একজন পুরুষ এবং একটি বাচ্চা পানিতে নৌকা বাইছে।
man and child in yellow kayak,ক্যানভাস দিয়ে মোড়া ছইওয়ালা হলুদ ছোট সরু নৌকা দিয়ে একজন মানুষ এবং শিশু জলাশয়ে ঘুরে বেড়াচ্ছে।
a black dog and a brown dog are jumping up to catch a red toy .,একটি কালো কুকুর ও বাদামি কুকুর একটি লাল খেলনা ধরতে লাফঝাঁপ করছে ।
a black dog and a brown dog play with a red toy on a courtyard .,একটি কালো কুকুর এবং একটি বাদামী কুকুর চত্বরে একটি লাল খেলনা নিয়ে খেলা করছে
a brown and black lab are outside and the black lab is catching a toy in its mouth .,একটি বাদামি এবং কালো কুকুর বাইরে রয়েছে এবং কালো কুকুরটি মুখে একটি খেলনা ধরে আছে
black dog snaps at red and black object as brown dog lunges .,বাদামী কুকুর টি সম্মুখ দিকে ঝাঁপ দেওয়ার সময় কালো কুকুরটি লাল-কালো বস্তুটি ধরে ফেলে।
the chocolate lab jumps too late to get the toy as the black lab captures it in the driveway .,চকোলেট ল্যাব কুকুরটি খেলনা ধরার আগেই ব্ল্যাক ল্যাব কুকুরটি ধরে ফেলেছে।
a boy with a stick kneeling in front of a goalie net,লাঠি হাতে একটি বালক গোল ধরার জালের সামনে হাঁটু গেঁড়ে বসে আছে ।
a child in a red jacket playing street hockey guarding a goal .,লাল বহিরাবরণ পরে একটি ছেলে গোলরক্ষক হিসেবে হকি খেলছে
a young kid playing the goalie in a hockey rink .,একটি ছোট ছেলে হকি রিংক এ গোলরক্ষক হয়ে খেলছে
a young male kneeling in front of a hockey goal with a hockey stick in his right hand .,ডান হাতে হকি স্টিক নিয়ে হকি গোলের সামনে হাঁটু গেড়ে বসে আছে এক তরুণ ।
"hockey goalie boy in red jacket crouches by goal , with stick .",লাল জ্যাকেট পরা হকি গোলরক্ষক ছেলেটি নত হয়ে আছে হাতে স্টিক নিয়ে
a man in black is sitting next to a modern art structure in front of a glass building .,"কালো পোশাক পরিহিত একজন ব্যক্তি,কাচের দালানের সামনে একটি আধুনিক শিল্প স্থাপত্যের পাশে বসে আছে ।"
a man sits and reads a newspaper by a sculpture outside of an office building .,একটি কার্যালয়ের একটি ভাস্কর্যেরসামনে বসে একজন লোক খবরের কাগজ পড়ছে
a man sits near a large statue .,একটি বিশাল  ভাস্কর্যের পাশে একটি লোক বসে আছে
a man sitting in front of a metal sculpture in front of a building .,একটি দালানের অভিমুখে থাকা একটি ধাতব ভাস্কর্যের সামনে একজন ব্যক্তি দাঁড়িয়ে আছ।
the man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,ভাষ্কর্য-চত্বরের সামনে থলে-কাঁধে থাকা ব্যক্তিটি বসে পড়ছে।
a tent is being set up on the ice .,বরফের উপর একটি তাবু স্থাপন করা হচ্ছে ।
two men are about to enter an ice fishing tent on a snow covered lake .,বরফে ঢাকা একটি হ্রদে দুজন লোক একটি মাছ শিকার করার তাঁবুতে প্রবেশ করছে
two men setting up a blue ice fishing hut on an iced over lake,দুজন ব্যক্তি একটি হিমায়িত লেকের ওপর বরফে মাছ ধরার একটি নীল কুঁড়েঘর বসাচ্ছে
"two men , standing on an ice , looking into something covered with a blue tarp .",বরফের উপরে একটি নীল ত্রিপলের মধ্যে দুইজন লোক কিছু দেখছে।
two people standing outside a blue tent structure on a snowy surface .,বরফের পৃষ্ঠতলে নীল তাঁবু কাঠামোর বাইরে দু'জন লোক দাঁড়িয়ে আছে।
a woman crouches near three dogs in a field .,মাঠে তিনটি কুকুরের কাছাকাছি একজন মহিলা নত হয়ে বসে আছেন ।
three dogs are playing on grassy hill with a blue sky .,কুকুরগুলো খোলা নীল আকাশের নিচে ঘাসের উপর খেলা করছে
three dogs are standing in the grass and a person is sitting next to them,তিনটি কুকুর ঘাসে দাঁড়িয়ে আছে আর একটি লোক ওদের পাশে বসে আছে
three dogs on a grassy hill,ঘাসযুক্ত পাহাড়ের উপর তিনটি কুকুর অবাক দৃষ্টিতে তাকিয়ে আছে।
three dogs stand in a grassy field while a person kneels nearby .,তিনটি কুকুর ঘাসের মাঠে খেলা করছে এবং একজন ব্যাক্তি হাঁটু গেড়ে তাদের কাছাকাছি বসে আছে।
a man is standing in front of a skyscraper,গগনচুম্বী ভবনের সামনে একজন লোক দাড়িয়ে আছে
a man stands in front of a skyscraper .,একজন লোক একটি গগনচুম্বী দালানের সামনে দাঁড়িয়ে আছে ।
a man stands in front of a very tall building .,অনেক উঁচু একটি দালানের সামনে একটি লোক দাঁড়িয়ে আছে
behind the man in a red shirt stands a large skyscraper .,লাল জামা পরিহিত লোকটির পিছনে দাঁড়িয়ে রয়েছে একটি বিশাল আকাশচুম্বি অট্টালিকা ।
there is a skyscraper in the distance with a man walking in front of the camera .,অতি উচ্চ অট্টালিকাটির ছবি তুলতে চিত্রগাহকের বাঁধা হয়ে দাঁড়িয়ে আছেন লোকটি।
a boy bites hard into a treat while he sits outside .,ছোট ছেলেটি বাইরে বসে পিৎজা খাচ্ছে
a child biting into a baked good .,একটি শিশু একটি শেঁকা খাবারে কামড় দিচ্ছে ।
a small boy putting something in his mouth with both hands .,ছোট একটি ছেলে দুই হাত দিয়ে মুখে কিছু একটা দিচ্ছে
the boy eats his food outside at the table .,ছেলেটি বাইরে খাবার টেবিলে খাবার খায়।
the boy is eating pizza over a tin dish .,বালকটি টিনের ডিসে পিজ্জা খাচ্ছে ।
people sit on the mountainside and check out the view .,কয়েকজন লোক পাহাড়ের কিনারায় বসে প্রকৃতিররূপ দেখছে
three people are on a hilltop overlooking a green valley .,পাহাড়চূড়া থেকে তিনজন ব্যক্তি একটি সবুজ উপত্যকা দর্শন করছে ।
three people hang out on top of a big hill .,বড় একটি পাহাড়ের ওপর তিনজন লোক আড্ডা দিচ্ছে
three people overlook a green valley .,তিনজন লোক একটি সবুজ উপত্যকা উপেক্ষা করে।
three people rest on a ledge above the moutains .,তিন ব্যাক্তি পাহাড়ের উপর বিশ্রাম করছে।
a boy in a green shirt is looking down at many inflatable boats .,সবুজ পোশাক পরিহিত একটি বালক নিচে ভাসমান নৌকাসমূহের দিকে তাকিয়ে আছে ।
a boy in a green shirt watches kayakers .,সবুজ শার্ট পড়া একটি ছেলে কায়াকারদেরকে দেখছে
a boy looks over a railing at the many boats and rafts below in the water .,একটি ছেলে বেড়ার উপর থেকে নিচে তাকিয়ে অনেকগুলো নৌকা এবং ভেলা দেখছে।
a young boy overlooking a crowd of inflatable boats .,একটি ছোট বালক ভাসমান নৌকার জনতাকে দেখছে ।
a young boy wearing a jersey looks down over a ledge at many boats in the water .,জার্সি পরিহিত বালকটি কৌতুহল নিয়ে পানিতে ভাসমান নৌকাগুলোর দিকে তাকিয়ে আছে।
a man and woman pose for the camera while another man looks on .,"একজন নারী এবং পুরুষ ছবি তুলছে,এমন অবস্থায় একজন লোক পেছন থেকে তাদের দেখছে ।"
a man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .,কিছু দালানের সামনে একটি লোক একজন মহিলার হাত মুখের সামনে ধরে আছে এবং আরেক লোক সেদিকে তাকিয়ে আছে
a multiracial couple posing for a picture,একটি বহু-সংস্কৃত দম্পতি একটি ছবির জন্য পোজ দিচ্ছেন।
"asian man and blond woman holding hands outdoors , man in background watches .",এশিয়ান পুরুষ এবং স্বর্ণকেশী মহিলা বাইরে হাত ধরে আছে এবং পিছনের লোকটি তাদেরকে দেখছে।
guy in blue shirt biting hand of girl in black striped jacket while another guy watches,নীল শার্ট পড়া লোক কালো ডোরাকাটা জ্যাকেটের মহিলা কামরাচ্ছে যখন আরেকজন লোক দেখছে ।
a person eats takeout while watching a small television .,"একজন ব্যক্তি ছোট একটি টেলিভিশন দেখছে,সাথে বাইরে থেকে কিনে বাসায় আনা খাবার খাচ্ছে ।"
a person sits on the floor and eats in front of a television .,মেঝেতে টিভির সামনে বসে এক ব্যক্তি খাচ্ছে
a television with a picture of a girl on it .,একটি টেলিভিশন এবং তার মধ্যে একটি মেয়ের ছবি ভাসছে।
a young man sits on the floor by the television with a fast food meal in front of him .,টেলিভিশনের সামনে ফাস্ট ফুড খাবার নিয়ে মেঝেতে বসে আছে এক যুবক।
someone is laying in front of the tv eating food .,কেউ টিভির সামনে হেলান দিয়ে খাবার খাচ্ছে ।
a couple of several people sitting on a ledge overlooking the beach,কয়েকজন ব্যক্তি শৈলশিরার উপর বসে থেকে সমুদ্রসৈকত পর্যবেক্ষণ করছে ।
a group of people sit on a wall at the beach .,সমুদ্র সৈকতের দেয়ালে কিছু লোক বসে আছে
a group of teens sit on a wall by a beach .,একদল কিশোরীরা সৈকতের ধারে একটি দেয়ালে বসেছিল।
crowd of people at the beach .,সৈকতে লোকের ভিড়।
several young people sitting on a rail above a crowded beach .,কিছু তরুণ তরুণী একটি জনবহুল সৈকতে একটি পাটাতনের উপর বসে আছেন ।
a boy takes a jump on his skateboard while another boy with a skateboard watches .,"একটি বালক তার স্কেটবোর্ডের সাহায্যে লাফ দিচ্ছে ,এমন সময় স্কেটবোর্ড হাতে একটি বালক তাকে দেখছে ।"
a child is performing a skateboard trick while another child with a skateboard leans on a wall .,একটি শিশু স্কেটবোর্ড নিয়ে কারিকুরি দেখাচ্ছে আর আরেকটি শিশু স্কেটবোর্ড নিয়ে দেয়ালে ঝুঁকে আছে
a little boy skateboarder is doing a trick on his board while another young skateboarder watches .,যখন একটি ছোট ছেলে-স্কেটবোর্ডার একটি চাতুরী করছে তখন অন্য এক তরুণ স্কেটবোর্ডার তা দেখছে।
a young boy skateboarder jumping on a platform on a skateboard .,একজন তরুণ স্কেটবোর্ডার তার স্কেটবোর্ড নিয়ে একটি সমতল স্থানে লাফ দিচ্ছে।
two skateboarders .,দুইজন স্কেটবোর্ড খেলোয়াড় ।
"a girl paddling down a large river , as seen from behind her .",পেছন থেকে দেখা যাচ্ছে একটি বালিকা দাঁড়ের সাহায্যে বড় নদী পাড়ি দিচ্ছে ।
a woman kayaking down a river .,একজন নারী নদীতে কায়াকিং করছে
a woman paddles a boat down a river .,একজন মহিলা নদীতে নৌকা চালাচ্ছেন।
a woman with a paddle .,বৈঠা হাতে একজন মহিলা ।
a woman with a paddle sits in a boat on the water .,এক নারী বৈঠাসহ পানিতে নৌকার মধ্যে বসে আছে ।
a girl in pigtails splashes in the shallow water .,কবরী বেণী করা একটি বালিকা অগভীর পানিতে দাঁড়িয়ে পানি ছিটাচ্ছে ।
a girls plays in the surf .,সমুদ্রপারে একটি মেয়ে খেলছে
a girl with pigtails is playing in the ocean by the beach .,তীরের কাছে সমুদ্রে কবরী বেণী করা একটি মেয়ে খেলছে ।
a girl with pigtails plays in the water .,চুল বেণী করা মেয়েটি পানিতে খেলছে।
a young girl in pigtails plays in the water .,চুলে বেণী করা এক তরুণী পানিতে খেলছে।
a group of four children wearing pajamas have a pillow fight .,চার শিশুর একটি দল ঘুমের পোশাক পরিধান করে বালিশ যুদ্ধ খেলছে ।
