,id,translation
13,13,"{'en': 'there is a girl with pigtails sitting in front of a rainbow painting .', 'bn': 'চুলে বেণী করা ছোট মেয়েটি একটি রংধনু চিত্রের সামনে বসে আছে।'}"
14,14,"{'en': 'young girl with pigtails painting outside in the grass .', 'bn': 'চুলে বেনী করা অল্প বয়সী মেয়েটি বাইরে ঘাসের উপর বসে রং করছে।'}"
15,15,"{'en': 'a man lays on a bench while his dog sits by him .', 'bn': 'একজন পুরুষ টেবিলের উপর শুয়ে আছে যখন তার কুকুর তার পাশে বসে আছে ।'}"
16,16,"{'en': 'a man lays on the bench to which a white dog is also tied .', 'bn': 'একজন মানুষ একটি বেঞ্চিতে শুয়ে আছে যার সাথে একটি সাদা কুকুরও বাধা আছে'}"
17,17,"{'en': 'a man sleeping on a bench outside with a white and black dog sitting next to him .', 'bn': 'একজন ব্যক্তি বাইরে বেঞ্চে ঘুমাচ্ছে এবং একটি সাদা কালো কুকুর তার পাশে বসে আছে।'}"
18,18,"{'en': 'a shirtless man lies on a park bench with his dog .', 'bn': 'একজন নগ্নদেহী লোক তার পোষা কুকুরকে সাথে নিয়ে বাগানে একটি লম্বা আসনে শুয়ে আছে।'}"
19,19,"{'en': 'man laying on bench holding leash of dog sitting on ground', 'bn': 'মাটিতে বসে থাকা কুকুরটির শিকল ধরে বেঞ্চে শুয়ে আছে লোকটি'}"
20,20,"{'en': 'a man in an orange hat starring at something .', 'bn': 'কমলা টুপি পরিহিত একজন পুরুষ কোনোকিছুর দিকে তাকিয়ে আছে ।'}"
21,21,"{'en': 'a man wears an orange hat and glasses .', 'bn': 'একজন মানুষ কমলা রঙের টুপি পরেছ এবং চশমাও পরেছে'}"
22,22,"{'en': 'a man with gauges and glasses is wearing a blitz hat .', 'bn': 'চশমাযুক্ত একজন ব্যক্তি একটি ব্লিটজ টুপি পরেছেন।'}"
23,23,"{'en': 'a man with glasses is wearing a beer can crocheted hat .', 'bn': 'চশমা পরিহিত একজন ব্যক্তি বিয়ারের কৌটা দিয়ে বানানো টুপি পরে আছে।'}"
24,24,"{'en': 'the man with pierced ears is wearing glasses and an orange hat .', 'bn': 'কান ফোঁড়ানো ব্যক্তিটি চশমা এবং কমলা টুপি পরেছে।'}"
25,25,"{'en': 'a child playing on a rope net .', 'bn': 'একটি শিশু দড়ি নির্মিত জালের উপর খেলছে ।'}"
26,26,"{'en': 'a little girl climbing on red roping .', 'bn': 'একটি ছোট মেয়ে লাল রঙের দড়ি বেয়ে উঠছে'}"
27,27,"{'en': 'a little girl in pink climbs a rope bridge at the park .', 'bn': 'গোলাপি জামা পরা ছোট মেয়েটি বাগানে দড়ির সেতু আরোহণ করছে।'}"
28,28,"{'en': 'a small child grips onto the red ropes at the playground .', 'bn': 'একটি ছোট শিশু খেলার মাঠে লাল রশি আঁকড়ে ধরে আছে।'}"
29,29,"{'en': 'the small child climbs on a red ropes on a playground .', 'bn': 'ছোট বাচ্চাটি মাঠে লাল রঙের দড়িতে চড়ে খেলছে'}"
30,30,"{'en': 'a black and white dog is running in a grassy garden surrounded by a white fence .', 'bn': 'সাদা বেড়ি যুক্ত ঘাসে আবৃত একটি বাগানে একটি সাদা-কালো কুকুর দৌড়াচ্ছে।'}"
31,31,"{'en': 'a black and white dog is running through the grass .', 'bn': 'একটি সাদাকালো রঙের কুকুর ঘাসের উপর দৌড়াচ্ছে'}"
32,32,"{'en': 'a boston terrier is running in the grass .', 'bn': 'ঘাসের উপর একটি বোস্টন টেরিয়ার কুকুর দৌড়াচ্ছে।'}"
33,33,"{'en': 'a boston terrier is running on lush green grass in front of a white fence .', 'bn': 'একটি বোস্টন টেরিয়ার জাতের কুকুর সাদা বেড়ার সামনে দিয়ে ঘন সবুজ ঘাসের মধ্যে দৌড়ে যাচ্ছে।'}"
34,34,"{'en': 'a dog runs on the green grass near a wooden fence .', 'bn': 'কাঠের বেড়ার পাশে কুকুরটি সবুজ ঘাসের উপর দৌড়াচ্ছে'}"
35,35,"{'en': 'a dog shakes its head near the shore , a red ball next to it .', 'bn': 'তীরের কাছে একটি কুকুর মাথা ঝাকাচ্ছে,কুকুরটির পাশে একটি লাল রং এর বল ।'}"
36,36,"{'en': 'a white dog shakes on the edge of a beach with an orange ball .', 'bn': 'একটি সাদা কুকুর একটি কমলা বল নিয়ে সমুদ্রের পাড়ে মাথা ঝাকাচ্ছে'}"
37,37,"{'en': 'dog with orange ball at feet , stands on shore shaking off water', 'bn': 'তীরে দাঁড়িয়ে শরীর থেকে জল ঝেড়ে ফেলছে একটি কুকুর।'}"
38,38,"{'en': 'white dog playing with a red ball on the shore near the water .', 'bn': 'জলের ধারে লাল বল নিয়ে খেলায় রত একটি সাদা কুকুর।'}"
39,39,"{'en': 'white dog with brown ears standing near water with head turned to one side .', 'bn': 'বাদামি কানওয়ালা সাদা কুকুরটি মাথা একদিকে বাঁকিয়ে পানির কাছে দাড়িয়ে আছে'}"
40,40,"{'en': 'a boy smiles in front of a stony wall in a city .', 'bn': 'একটি শহরের একটি পাথর নির্মিত দেয়ালের সামনে একটি বালক হাসছে ।'}"
41,41,"{'en': 'a little boy is standing on the street while a man in overalls is working on a stone wall .', 'bn': 'একটি ছোট ছেলে রাস্তায় দাড়িয়ে আছে অ্যদিকে একজন লোক সবর্পরি কাজ করছে পাথরের দেওয়ালের উপর'}"
42,42,"{'en': 'a young boy runs aross the street .', 'bn': 'একটি ছোট ছেলে রাস্তা দিয়ে দৌড়াচ্ছে।'}"
43,43,"{'en': 'a young child is walking on a stone paved street with a metal pole and a man behind him .', 'bn': 'একটি ছোট শিশু পাথুরে রাস্তা ধরে হেঁটে যাচ্ছে এবং তার পেছনে একটি ধাতব খাম্বা এবং একজন ব্যক্তি রয়েছ।'}"
44,44,"{'en': 'smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .', 'bn': 'সাদা শার্ট আর নীল জিন্স পড়া হাস্যোজ্জ্বল ছেলেটি সম্পূর্ণ উল্টোদিকে মুখ করে থাকা লোকটির সাথে পাথুরে প্রাচীরের সামনে দাঁড়িয়ে আছে'}"
45,45,"{'en': 'a black dog leaps over a log .', 'bn': 'একটি কালো কুকুর একটি গাছের গুঁড়ির উপর দিয়ে লাফ দিচ্ছে ।'}"
46,46,"{'en': 'a grey dog is leaping over a fallen tree .', 'bn': 'একটি ধূসর কুকুর ভেঙে পরা গাছের উপর দিয়ে লাফ দিয়ে যাচ্ছ'}"
47,47,"{'en': 'a large black dog leaps a fallen log .', 'bn': 'একটি বড় কালো কুকুর, একটি পতিত গাছের উপর দিয়ে লাফিয়ে যাচ্ছে।'}"
48,48,"{'en': 'a mottled black and grey dog in a blue collar jumping over a fallen tree .', 'bn': 'নীল গলাবন্ধ পরিহিত কালো এবং ধূসর ছোপযুক্ত একটি কুকুর পড়ে থাকা একটি গাছের উপর দিয়ে লাফিয়ে যাচ্ছ।'}"
49,49,"{'en': 'the black dog jumped the tree stump .', 'bn': 'কালো কুকুরটি লাফিয়ে গাছের কুঁদা পার করছে'}"
50,50,"{'en': 'a brown and white dog is running through the snow .', 'bn': 'একটি সাদা-বাদামি ছোপযুক্ত কুকুর বরফের মাঝ দিয়ে দৌড়াচ্ছে ।'}"
51,51,"{'en': 'a dog is running in the snow', 'bn': 'একটি সাদা কুকুর বরফের উপরে দৌড়াচ্ছে'}"
52,52,"{'en': 'a dog running through snow .', 'bn': 'একটি কুকুর বরফের মাঝে দৌড়াচ্ছে।'}"
53,53,"{'en': 'a white and brown dog is running through a snow covered field .', 'bn': 'একটি সাদা এবং বাদামী রঙের কুকুর বরফে ঢাকা মাঠের মধ্যে দিয়ে দৌড়াচ্ছে।'}"
54,54,"{'en': 'the white and brown dog is running over the surface of the snow .', 'bn': 'শ্বেত-বাদামি কুকুরটি বরফের পৃষ্ঠদেশে দৌড়ে বেড়াচ্ছে'}"
55,55,"{'en': 'a man in a hat is displaying pictures next to a skier in a blue hat .', 'bn': 'একজন টুপি পরিহিত লোক আরেকজন নীল টুপি পরিহিত স্কিচালক কে কিছু ছবি দেখাচ্ছেন ।'}"
56,56,"{'en': 'a man skis past another man displaying paintings in the snow .', 'bn': 'একজন লোক স্কি করে যাচ্ছে আর অন্যজন চিত্র প্রদর্শন করছে বরফের উপর'}"
57,57,"{'en': 'a person wearing skis looking at framed pictures set up in the snow .', 'bn': 'স্কি পরিহিত একজন ব্যক্তি তুষারে রাখা ফ্রেমবন্দি ছবিগুলো দেখছে।'}"
58,58,"{'en': 'a skier looks at framed pictures in the snow next to trees .', 'bn': 'একজন  স্কিচালক গাছের পাশের বরফে ফ্রেমযুক্ত ছবি দেখছে।'}"
59,59,"{'en': 'man on skis looking at artwork for sale in the snow', 'bn': 'স্কি করতে থাকা লোকটি বরফে পড়ে থাকা বিক্রয়যোগ্য চিত্রকর্মগুলোর দিকে তাকিয়ে আছে'}"
60,60,"{'en': 'a collage of one person climbing a cliff .', 'bn': 'একজন ব্যক্তির একটি কোলাজ খাড়া পাহাড় আরোহন করছে ।'}"
61,61,"{'en': 'a group of people are rock climbing on a rock climbing wall .', 'bn': 'একদল লোক পাথুর বেয়ে উঠার দেওয়ালে পাথর বেয়ে উঠছে'}"
62,62,"{'en': 'a group of people climbing a rock while one man belays', 'bn': 'একদল লোক শিলায় চড়ছে এবং একজন লোক শিলায় চড়ার প্রস্তুতি নিচ্ছে।'}"
63,63,"{'en': 'seven climbers are ascending a rock face whilst another man stands holding the rope .', 'bn': 'সাত পর্বতারোহী একটি শিলামুখ বেয়ে উঠছে আর আরেক ব্যক্তি দড়ি ধরে দাঁড়িয়ে আছে'}"
64,64,"{'en': 'several climbers in a row are climbing the rock while the man in red watches and holds the line .', 'bn': 'কয়েকজন আরোহী একসাথে শিলায় আরোহণ করছেন যখন লাল পোশাক পরিহিত লোকটি নজর রেখেছে এবং রশিটি ধরে রেখেছে।'}"
65,65,"{'en': 'a brown dog chases the water from a sprinkler on a lawn .', 'bn': 'ঘাসযুক্ত জায়গার উপর পানি ছিটানো যন্ত্র থেকে ছিটকে পড়া পানি একটি বাদামি কুকুর ধরতে চেষ্টা করছে ।'}"
66,66,"{'en': 'a brown dog plays with the hose .', 'bn': 'একটি বদামী কুকুর জলসেচনের পাইপের সাথে খেলছে'}"
67,67,"{'en': 'a brown dog running on a lawn near a garden hose', 'bn': 'লনে, বাগানে পানি দেওয়ার নলের পাশে একটি বাদামী কুকুর দৌড়াচ্ছে।'}"
68,68,"{'en': 'a dog is playing with a hose .', 'bn': 'একটি কুকুর হৌজ পাইপের সাথে খেলছে'}"
69,69,"{'en': 'large brown dog running away from the sprinkler in the grass .', 'bn': 'বড় বাদামী কুকুর ঘাসের  উপর থাকা স্প্রিংকলার থেকে পালাচ্ছে.'}"
70,70,"{'en': 'a dog prepares to catch a thrown object in a field with nearby cars .', 'bn': 'কাছাকাছি গাড়ি আছে এমন একটি মাঠে,একটি কুকুর তার দিকে ছুঁড়ে দেয়া বস্তুটি ধরার প্রস্তুতি নিচ্ছে ।'}"
71,71,"{'en': 'a white dog is about to catch a yellow ball in its mouth .', 'bn': 'একটি সাদা কুকুর একটি হলুদ বল তার মুখ দিয়ে ধরার চেষ্টা করছে'}"
72,72,"{'en': 'a white dog is about to catch a yellow dog toy .', 'bn': 'একটি সাদা কুকুর একটি হলুদ রঙের খেলনা ধরতে চলেছে।'}"
73,73,"{'en': 'a white dog is ready to catch a yellow ball flying through the air .', 'bn': 'একটি সাদা কুকুর উড়তে থাকা একটি হলুদ বল ধরার জন্য প্রস্তুত'}"
74,74,"{'en': 'a white dog running after a yellow ball', 'bn': 'একটি সাদা কুকুর হলুদ বলের পিছনে দৌড়াচ্ছে ।'}"
75,75,"{'en': 'a black and white dog jumping in the air to get a toy .', 'bn': 'একটি কালো বাদামি ছোপযুক্ত কুকুর একটি খেলনা ধরার জন্য শূণ্যে লাফাচ্ছে ।'}"
76,76,"{'en': 'a black and white dog jumps up towards a yellow toy .', 'bn': 'একটি সাদাকালো রঙের কুকুর একটি হলুদ খেলনার দিকে লাফ দিলো'}"
77,77,"{'en': 'a dog leaps to catch a ball in a field .', 'bn': 'বল ধরার জন্য একটি কুকুর মাঠে লাফালাফি করছে।'}"
78,78,"{'en': 'a white dog is trying to catch a ball in midair over a grassy field .', 'bn': 'ঘাসের মাঠের উপর একটি সাদা কুকুর শুন্যে থাকা একটি বল ধরার চেষ্টা করছে'}"
79,79,"{'en': 'the white dog is playing in a green field with a yellow toy .', 'bn': 'সাদা কুকুরটি হলুদ খেলনা নিয়ে সবুজ মাঠে খেলছে।'}"
80,80,"{'en': 'a child and a woman are at waters edge in a big city .', 'bn': 'একটি বড় শহরে,একজন মহিলা এবং একটি শিশু পানির কিনারায় দাঁড়িয়ে আছে ।'}"
81,81,"{'en': 'a large lake with a lone duck swimming in it with several people around the edge of it .', 'bn': 'একটি বড় হ্রদের কিনারায় কিছু মানুষ বসে আছে আর একটি একা হাঁস হ্রদে সাঁতার কাটছে'}"
82,82,"{'en': 'a little boy at a lake watching a duck .', 'bn': 'একটি ছোট ছেলে দীঘির তীরে দাঁড়িয়ে হাঁস দেখছে।'}"
83,83,"{'en': 'a young boy waves his hand at the duck in the water surrounded by a green park .', 'bn': 'সবুজ উদ্যান ঘেরা পানিতে থাকা হাঁসের দিকে একটি তরুণ হাত নাড়াচ্ছে'}"
84,84,"{'en': 'two people are at the edge of a lake , facing the water and the city skyline .', 'bn': 'দুইজন লোক একটি হ্রদের কিনারায়, জল এবং শহরের আকাশরেখার মুখোমুখি হয়ে আছে।'}"
85,85,"{'en': 'a couple and an infant , being held by the male , sitting next to a pond with a near by stroller .', 'bn': 'পুকুরের পাশে একটি বাচ্চা ঘোরানোর গাড়ি নিয়ে,এক দম্পতি এবং একটি শিশু বসে আছে,বাচ্চাটিক্ ধরে রেখেছে পুরুষ লোকটি ।'}"
86,86,"{'en': 'a couple sit on the grass with a baby and stroller .', 'bn': 'এক দম্পতি ঘসের বসে আছে তাদের বাচ্চার সাথে এবং পাশে আছে বাচ্চা বহনকরার গাড়ী'}"
87,87,"{'en': 'a couple with their newborn baby sitting under a tree facing a lake .', 'bn': 'একটি দম্পতি তাদের নবজাতক শিশুকে নিয়ে একটি দীঘির পাশে গাছের নিচে বসে আছে।'}"
88,88,"{'en': 'a man and woman care for an infant along the side of a body of water .', 'bn': 'পানির ধারে একজন পুরুষ এবং মহিলা একটি শিশুকে আদর করছে'}"
89,89,"{'en': 'couple with a baby sit outdoors next to their stroller .', 'bn': 'একটি শিশুর সাথে দম্পতি বাইরে তাদের স্ট্রোলারের পাশে বসে আছে।'}"
90,90,"{'en': 'a black dog running in the surf .', 'bn': 'একটি কালো কুকুর পানির কিনারায় দৌড়াচ্ছে ।'}"
91,91,"{'en': 'a black lab with tags frolicks in the water .', 'bn': 'একটি কালো কুকুর তার গলার বাধাবুলি নিয়ে সাগরের পানিতে খেলা করছে'}"
92,92,"{'en': 'a dog splashes in the water', 'bn': 'কুকুরটি পানি ছিটাচ্ছে'}"
93,93,"{'en': 'the black dog runs through the water .', 'bn': 'কালো কুকুর টি পানির মধ্য দিয়ে দৌড়াচ্ছে।'}"
94,94,"{'en': 'this is a black dog splashing in the water .', 'bn': 'এটি একটি কালো কুকুর যা জল ছিটাচ্ছে ।'}"
95,95,"{'en': 'a man drilling a hole in the ice .', 'bn': 'একজন মানুষ বরফে গর্ত খুঁড়ছে ।'}"
96,96,"{'en': 'a man is drilling through the frozen ice of a pond .', 'bn': 'একজন লোক জমে যাওয়া বরফের পুকুরে ছিদ্র করছে'}"
97,97,"{'en': 'a person in the snow drilling a hole in the ice .', 'bn': 'তুষারে একটি লোক বরফে গর্ত খুঁড়ছে'}"
98,98,"{'en': 'a person standing on a frozen lake .', 'bn': 'জমাট বাঁধা দীঘির উপর একজন ব্যক্তি দাঁড়িয়ে আছেন।'}"
99,99,"{'en': 'two men are ice fishing .', 'bn': 'দুই জন লোক বরফে মাছ ধরছে।'}"
100,100,"{'en': 'two different breeds of brown and white dogs play on the beach .', 'bn': 'দুটি ভিন্ন জাতের সাদা-বাদামি ছোপযুক্ত কুকুর সমুদ্রতীরে খেলা করছে ।'}"
101,101,"{'en': 'two dogs are making a turn on a soft sand beach .', 'bn': 'দুটি কুকুর নরম বালির সমুদ্র সৈকতে ঘুরছে'}"
102,102,"{'en': 'two dogs playing in the sand at the beach .', 'bn': 'দুইটি কুকুর সমুদ্র সৈকতের বালুতে খেলছে'}"
103,103,"{'en': 'two dogs playing together on a beach .', 'bn': 'সৈকতে দুটি কুকুর একসাথে খেলছে।'}"
104,104,"{'en': 'two large tan dogs play along a sandy beach .', 'bn': 'বালুকাময় সৈকতে তাম্রবর্ণের দুটি কুকুর খেলছে ।'}"
105,105,"{'en': 'a man uses ice picks and crampons to scale ice .', 'bn': 'একজল লোক বরফ বেয়ে উঠতে আইস পিকস যন্ত্র এবং ক্র্যাম্পন জুতো ব্যবহার করছে ।'}"
106,106,"{'en': 'an ice climber in a blue jacket and black pants is scaling a frozen ice wall .', 'bn': 'একজন নীল জামা পরিহিত পর্বতারোহী একটি বরফে একটি পাহাড় বেয়ে উঠার চেষ্টা করছে'}"
107,107,"{'en': 'an ice climber scaling a frozen waterfall .', 'bn': 'একজন বরফারোহী একটি জমাট বাঁধা ঝর্না বেয়ে উঠছে'}"
108,108,"{'en': 'a person in blue and red ice climbing with two picks .', 'bn': 'গাঁইতি দিয়ে বরফ আরোহণ করছেন একজন ব্যক্তি।'}"
109,109,"{'en': 'climber climbing an ice wall', 'bn': 'একটি বরফের দেয়ালে আরোহী আরোহণ করছে ।'}"
110,110,"{'en': 'a black dog carries a green toy in his mouth as he walks through the grass .', 'bn': 'একটি কালো কুকুর সবুজ একটি খেলনা মুখে নিয়ে ঘাসের মধ্য দিয়ে হেঁটে যাচ্ছে ।'}"
111,111,"{'en': 'a black dog carrying something through the grass .', 'bn': 'একটি কালো কুকুর মুখে কিছু একটি জিনিস নিয়ে ঘাসের উপর হেঁটে যাচ্ছে'}"
112,112,"{'en': 'a black dog has a blue toy in its mouth .', 'bn': 'একটি কালো কুকুরের মুখে একটি নীল খেলনা রয়েছে'}"
113,113,"{'en': 'a dog in grass with a blue item in his mouth .', 'bn': 'একটি নীল বস্তু মুখে নিয়ে একটি কুকুর ঘাসের মধ্যে দাঁড়িয়ে আছে।'}"
114,114,"{'en': 'a wet black dog is carrying a green toy through the grass .', 'bn': 'একটি ভেজা কালো কুকুর ঘাসের মধ্য দিয়ে মুখে করে একটি সবুজ খেলনা বহন করছে।'}"
115,115,"{'en': 'a man and a baby are in a yellow kayak on water .', 'bn': 'একজন লোক ও একটি শিশু ক্যানভাসে মোড়ানো ছইওয়ালা ছোট সরু নৌকায় করে পানির উপর ভেসে বেড়াচ্ছে ।'}"
116,116,"{'en': 'a man and a little boy in blue life jackets are rowing a yellow canoe .', 'bn': 'একজন লোক এবং ছোট ছেলে নীল রঙের বহিরাবরণ পরে একটি হ্রদে ডোঙ্গা বেয়ে যাচ্ছে'}"
117,117,"{'en': 'a man and child kayak through gentle waters .', 'bn': 'একজন পুরুষ এবং শিশু শান্ত পানিতে কায়াকিং করছে'}"
118,118,"{'en': 'a man and young boy ride in a yellow kayak .', 'bn': 'একজন পুরুষ এবং একটি বাচ্চা পানিতে নৌকা বাইছে।'}"
119,119,"{'en': 'man and child in yellow kayak', 'bn': 'ক্যানভাস দিয়ে মোড়া ছইওয়ালা হলুদ ছোট সরু নৌকা দিয়ে একজন মানুষ এবং শিশু জলাশয়ে ঘুরে বেড়াচ্ছে।'}"
120,120,"{'en': 'a black dog and a brown dog are jumping up to catch a red toy .', 'bn': 'একটি কালো কুকুর ও বাদামি কুকুর একটি লাল খেলনা ধরতে লাফঝাঁপ করছে ।'}"
121,121,"{'en': 'a black dog and a brown dog play with a red toy on a courtyard .', 'bn': 'একটি কালো কুকুর এবং একটি বাদামী কুকুর চত্বরে একটি লাল খেলনা নিয়ে খেলা করছে'}"
122,122,"{'en': 'a brown and black lab are outside and the black lab is catching a toy in its mouth .', 'bn': 'একটি বাদামি এবং কালো কুকুর বাইরে রয়েছে এবং কালো কুকুরটি মুখে একটি খেলনা ধরে আছে'}"
123,123,"{'en': 'black dog snaps at red and black object as brown dog lunges .', 'bn': 'বাদামী কুকুর টি সম্মুখ দিকে ঝাঁপ দেওয়ার সময় কালো কুকুরটি লাল-কালো বস্তুটি ধরে ফেলে।'}"
124,124,"{'en': 'the chocolate lab jumps too late to get the toy as the black lab captures it in the driveway .', 'bn': 'চকোলেট ল্যাব কুকুরটি খেলনা ধরার আগেই ব্ল্যাক ল্যাব কুকুরটি ধরে ফেলেছে।'}"
125,125,"{'en': 'a boy with a stick kneeling in front of a goalie net', 'bn': 'লাঠি হাতে একটি বালক গোল ধরার জালের সামনে হাঁটু গেঁড়ে বসে আছে ।'}"
126,126,"{'en': 'a child in a red jacket playing street hockey guarding a goal .', 'bn': 'লাল বহিরাবরণ পরে একটি ছেলে গোলরক্ষক হিসেবে হকি খেলছে'}"
127,127,"{'en': 'a young kid playing the goalie in a hockey rink .', 'bn': 'একটি ছোট ছেলে হকি রিংক এ গোলরক্ষক হয়ে খেলছে'}"
128,128,"{'en': 'a young male kneeling in front of a hockey goal with a hockey stick in his right hand .', 'bn': 'ডান হাতে হকি স্টিক নিয়ে হকি গোলের সামনে হাঁটু গেড়ে বসে আছে এক তরুণ ।'}"
129,129,"{'en': 'hockey goalie boy in red jacket crouches by goal , with stick .', 'bn': 'লাল জ্যাকেট পরা হকি গোলরক্ষক ছেলেটি নত হয়ে আছে হাতে স্টিক নিয়ে'}"
130,130,"{'en': 'a man in black is sitting next to a modern art structure in front of a glass building .', 'bn': 'কালো পোশাক পরিহিত একজন ব্যক্তি,কাচের দালানের সামনে একটি আধুনিক শিল্প স্থাপত্যের পাশে বসে আছে ।'}"
131,131,"{'en': 'a man sits and reads a newspaper by a sculpture outside of an office building .', 'bn': 'একটি কার্যালয়ের একটি ভাস্কর্যেরসামনে বসে একজন লোক খবরের কাগজ পড়ছে'}"
132,132,"{'en': 'a man sits near a large statue .', 'bn': 'একটি বিশাল  ভাস্কর্যের পাশে একটি লোক বসে আছে'}"
133,133,"{'en': 'a man sitting in front of a metal sculpture in front of a building .', 'bn': 'একটি দালানের অভিমুখে থাকা একটি ধাতব ভাস্কর্যের সামনে একজন ব্যক্তি দাঁড়িয়ে আছ।'}"
134,134,"{'en': 'the man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .', 'bn': 'ভাষ্কর্য-চত্বরের সামনে থলে-কাঁধে থাকা ব্যক্তিটি বসে পড়ছে।'}"
135,135,"{'en': 'a tent is being set up on the ice .', 'bn': 'বরফের উপর একটি তাবু স্থাপন করা হচ্ছে ।'}"
136,136,"{'en': 'two men are about to enter an ice fishing tent on a snow covered lake .', 'bn': 'বরফে ঢাকা একটি হ্রদে দুজন লোক একটি মাছ শিকার করার তাঁবুতে প্রবেশ করছে'}"
137,137,"{'en': 'two men setting up a blue ice fishing hut on an iced over lake', 'bn': 'দুজন ব্যক্তি একটি হিমায়িত লেকের ওপর বরফে মাছ ধরার একটি নীল কুঁড়েঘর বসাচ্ছে'}"
138,138,"{'en': 'two men , standing on an ice , looking into something covered with a blue tarp .', 'bn': 'বরফের উপরে একটি নীল ত্রিপলের মধ্যে দুইজন লোক কিছু দেখছে।'}"
139,139,"{'en': 'two people standing outside a blue tent structure on a snowy surface .', 'bn': ""বরফের পৃষ্ঠতলে নীল তাঁবু কাঠামোর বাইরে দু'জন লোক দাঁড়িয়ে আছে।""}"
140,140,"{'en': 'a woman crouches near three dogs in a field .', 'bn': 'মাঠে তিনটি কুকুরের কাছাকাছি একজন মহিলা নত হয়ে বসে আছেন ।'}"
141,141,"{'en': 'three dogs are playing on grassy hill with a blue sky .', 'bn': 'কুকুরগুলো খোলা নীল আকাশের নিচে ঘাসের উপর খেলা করছে'}"
142,142,"{'en': 'three dogs are standing in the grass and a person is sitting next to them', 'bn': 'তিনটি কুকুর ঘাসে দাঁড়িয়ে আছে আর একটি লোক ওদের পাশে বসে আছে'}"
143,143,"{'en': 'three dogs on a grassy hill', 'bn': 'ঘাসযুক্ত পাহাড়ের উপর তিনটি কুকুর অবাক দৃষ্টিতে তাকিয়ে আছে।'}"
144,144,"{'en': 'three dogs stand in a grassy field while a person kneels nearby .', 'bn': 'তিনটি কুকুর ঘাসের মাঠে খেলা করছে এবং একজন ব্যাক্তি হাঁটু গেড়ে তাদের কাছাকাছি বসে আছে।'}"
145,145,"{'en': 'a man is standing in front of a skyscraper', 'bn': 'গগনচুম্বী ভবনের সামনে একজন লোক দাড়িয়ে আছে'}"
146,146,"{'en': 'a man stands in front of a skyscraper .', 'bn': 'একজন লোক একটি গগনচুম্বী দালানের সামনে দাঁড়িয়ে আছে ।'}"
147,147,"{'en': 'a man stands in front of a very tall building .', 'bn': 'অনেক উঁচু একটি দালানের সামনে একটি লোক দাঁড়িয়ে আছে'}"
148,148,"{'en': 'behind the man in a red shirt stands a large skyscraper .', 'bn': 'লাল জামা পরিহিত লোকটির পিছনে দাঁড়িয়ে রয়েছে একটি বিশাল আকাশচুম্বি অট্টালিকা ।'}"
